DATAYEARS,CO_DIST,DISTRICT_NAME,COUNTY_NAME,CLASS_CODE,DISTRICT_TYPE_CODE,AGENCYID,COUNTY,DISTRICT,SCHOOL,SCHOOL_NAME,GRADE_CODE,F_WH,M_WH,F_BL,M_BL,F_HI,M_HI,F_AS,M_AS,F_AM,M_AM,F_PI,M_PI,F_MU,M_MU,Female_total,Male_total,Total
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,K ,9,11,1,0,8,9,0,0,0,0,0,0,0,0,18,20,38
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,PK,3,8,0,1,2,1,0,0,0,1,0,0,1,0,6,11,17
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-006,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL  ,01,17,28,0,1,3,5,1,1,0,0,0,0,0,2,21,37,58
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-006,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL  ,02,27,32,0,0,4,3,0,1,0,0,0,0,1,1,32,37,69
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-006,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL  ,03,21,25,1,0,1,5,1,0,0,0,0,0,0,1,24,31,55
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-006,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL  ,04,21,17,2,0,6,3,1,1,0,0,0,0,0,1,30,22,52
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-006,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL  ,05,27,23,1,0,5,1,1,0,0,0,0,0,0,0,34,24,58
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-006,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL  ,06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-006,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL  ,07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-006,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL  ,08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-006,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL  ,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
