Type	School Year	County	District	School	Agency Name	Average Teacher Salary	Average Years of Teaching Experience	Masters Count	Percentage of Teachers with Master's Degrees	Teacher Count	White, Not Hispanic	Black, Not Hispanic	Hispanic	Asian / Pacific Islanders	American Indian / Alaskan Native
SC	20032004	02	0018	002	ELGIN ELEMENTARY SCHOOL	46915	18.83	*	*	*	*	*	*	*	*
SC	20052006	02	0018	002	ELGIN ELEMENTARY SCHOOL	34501	16.40	*	*	11.79	12	*	*	*	*
SC	20062007	02	0018	002	ELGIN ELEMENTARY SCHOOL	37559	17.40	*	*	11.79	12	*	*	*	*
SC	20072008	02	0018	002	ELGIN ELEMENTARY SCHOOL	39635	18.40	*	*	11.79	12	*	*	*	*
SC	20082009	02	0018	002	ELGIN ELEMENTARY SCHOOL	41617	19.13	*	*	11.83	12	*	*	*	*
DI	20032004	02	2001	000	NEBRASKA UNIFIED DISTRICT 1	35911	16.28	13.00	0.2453	51.93	*	*	*	*	*
DI	20052006	02	2001	000	NEBRASKA UNIFIED DISTRICT 1	36378	17.62	21.00	0.3333	56.86	57	*	*	*	*
DI	20062007	02	2001	000	NEBRASKA UNIFIED DISTRICT 1	39629	18.61	24.00	0.3871	55.66	56	*	*	*	*
DI	20072008	02	2001	000	NEBRASKA UNIFIED DISTRICT 1	50923	19.70	23.00	0.3833	55.19	55	*	*	*	*
DI	20082009	02	2001	000	NEBRASKA UNIFIED DISTRICT 1	41637	20.08	23.00	0.3833	56.38	56	*	*	*	*
SC	20032004	02	2001	001	CLEARWATER HIGH SCHOOL	54604	14.91	*	*	*	*	*	*	*	*
SC	20052006	02	2001	001	CLEARWATER HIGH SCHOOL	35350	17.14	*	*	*	10	*	*	*	*
SC	20062007	02	2001	001	CLEARWATER HIGH SCHOOL	35359	17.64	*	*	*	10	*	*	*	*
SC	20072008	02	2001	001	CLEARWATER HIGH SCHOOL	50843	16.93	*	*	*	*	*	*	*	*
SC	20082009	02	2001	001	CLEARWATER HIGH SCHOOL	40639	19.50	*	*	*	*	*	*	*	*
SC	20032004	02	2001	002	CLEARWATER ELEMENTARY SCHOOL	*	15.23	*	*	*	*	*	*	*	*
SC	20052006	02	2001	002	CLEARWATER ELEMENTARY SCHOOL	34196	13.08	*	*	*	*	*	*	*	*
SC	20062007	02	2001	002	CLEARWATER ELEMENTARY SCHOOL	35900	14.00	*	*	*	*	*	*	*	*
SC	20072008	02	2001	002	CLEARWATER ELEMENTARY SCHOOL	49933	14.85	*	*	*	*	*	*	*	*
SC	20082009	02	2001	002	CLEARWATER ELEMENTARY SCHOOL	39196	16.06	*	*	11.35	11	*	*	*	*
SC	20032004	02	2001	003	ORCHARD HIGH SCHOOL	46213	11.64	*	*	*	*	*	*	*	*
SC	20052006	02	2001	003	ORCHARD HIGH SCHOOL	34156	16.15	*	*	10.00	10	*	*	*	*
SC	20062007	02	2001	003	ORCHARD HIGH SCHOOL	36068	16.69	*	*	10.00	10	*	*	*	*
SC	20072008	02	2001	003	ORCHARD HIGH SCHOOL	46683	17.46	*	*	*	10	*	*	*	*
SC	20082009	02	2001	003	ORCHARD HIGH SCHOOL	39771	17.71	*	*	*	10	*	*	*	*
SC	20032004	02	2001	004	ORCHARD ELEMENTARY SCHOOL	59829	11.73	*	*	10.37	*	*	*	*	*
SC	20052006	02	2001	004	ORCHARD ELEMENTARY SCHOOL	33799	12.00	*	*	*	*	*	*	*	*
SC	20062007	02	2001	004	ORCHARD ELEMENTARY SCHOOL	44003	13.18	*	*	*	*	*	*	*	*
SC	20072008	02	2001	004	ORCHARD ELEMENTARY SCHOOL	47153	14.00	*	*	*	*	*	*	*	*
SC	20082009	02	2001	004	ORCHARD ELEMENTARY SCHOOL	40299	17.82	*	*	*	*	*	*	*	*
SC	20032004	02	2001	005	VERDIGRE HIGH SCHOOL	48899	19.64	*	*	*	*	*	*	*	*
SC	20052006	02	2001	005	VERDIGRE HIGH SCHOOL	38090	21.20	*	*	10.10	10	*	*	*	*
SC	20062007	02	2001	005	VERDIGRE HIGH SCHOOL	40380	21.86	*	*	*	10	*	*	*	*
SC	20072008	02	2001	005	VERDIGRE HIGH SCHOOL	51862	25.43	*	*	*	*	*	*	*	*
SC	20082009	02	2001	005	VERDIGRE HIGH SCHOOL	43605	24.67	*	*	*	10	*	*	*	*
SC	20032004	02	2001	006	VERDIGRE ELEMENTARY SCHOOL	96007	20.54	*	*	*	*	*	*	*	*
SC	20052006	02	2001	006	VERDIGRE ELEMENTARY SCHOOL	38578	24.00	*	*	*	*	*	*	*	*
SC	20062007	02	2001	006	VERDIGRE ELEMENTARY SCHOOL	40472	25.00	*	*	*	*	*	*	*	*
SC	20072008	02	2001	006	VERDIGRE ELEMENTARY SCHOOL	54548	25.23	*	*	*	*	*	*	*	*
SC	20082009	02	2001	006	VERDIGRE ELEMENTARY SCHOOL	43867	24.85	*	*	*	*	*	*	*	*
DI	19981999	03	0500	000	ARTHUR COUNTY SCHOOLS	27151	13.67	*	*	*	*	*	*	*	*
DI	20032004	03	0500	000	ARTHUR COUNTY SCHOOLS	34208	14.00	*	*	*	*	*	*	*	*
DI	20052006	03	0500	000	ARTHUR COUNTY SCHOOLS	34737	19.60	*	*	*	*	*	*	*	*
DI	20062007	03	0500	000	ARTHUR COUNTY SCHOOLS	35146	18.25	*	*	10.75	11	*	*	*	*
DI	20072008	03	0500	000	ARTHUR COUNTY SCHOOLS	35009	17.62	*	*	11.12	11	*	*	*	*
DI	20082009	03	0500	000	ARTHUR COUNTY SCHOOLS	34435	17.43	*	*	11.80	11	*	*	*	*
SC	19981999	03	0500	001	ARTHUR COUNTY HIGH SCHOOL	27151	13.67	*	*	*	*	*	*	*	*
