DATAYEARS,CO_DIST,DISTRICT_NAME,COUNTY_NAME,CLASS_CODE,DISTRICT_TYPE_CODE,AGENCYID,COUNTY,DISTRICT,SCHOOL,SCHOOL_NAME,GRADE_CODE,F_WH,M_WH,F_BL,M_BL,F_HI,M_HI,F_AS,M_AS,F_AM,M_AM,F_PI,M_PI,F_MU,M_MU,Female_total,Male_total,Total
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,01,23,33,0,1,3,1,0,1,0,0,0,0,1,2,27,38,65
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,02,19,24,0,0,4,3,0,1,0,0,0,0,0,0,23,28,51
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,03,22,31,1,1,5,2,0,0,1,0,0,0,2,2,31,36,67
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,04,27,27,0,0,1,2,1,1,0,0,0,0,0,0,29,30,59
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,05,23,21,1,0,2,4,0,0,0,1,0,0,1,0,27,26,53
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,K ,15,21,0,0,2,5,0,1,1,1,0,0,1,1,19,29,48
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,PK,17,28,1,1,6,7,0,0,1,1,0,0,0,0,25,37,62
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,01,17,16,0,2,11,9,1,1,0,0,1,1,0,0,30,29,59
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,02,15,15,1,4,8,8,2,0,0,0,0,0,0,0,26,27,53
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,03,24,14,1,0,5,7,1,0,0,0,0,0,0,0,31,21,52
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,04,7,9,2,0,11,6,1,2,0,1,0,0,0,0,21,18,39
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,05,7,22,0,2,4,3,0,0,0,1,0,0,1,2,12,30,42
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,K ,21,23,6,1,6,8,0,0,0,0,0,0,0,0,33,32,65
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,PK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-006,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL  ,01,19,25,1,0,1,5,1,1,0,0,0,0,0,0,22,31,53
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-006,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL  ,02,24,15,1,0,5,4,3,1,0,0,0,0,0,1,33,21,54
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-006,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL  ,03,24,15,1,0,3,3,1,0,1,0,0,0,0,0,30,18,48
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-006,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL  ,04,25,26,1,0,3,5,0,1,0,0,1,0,1,0,31,32,63
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-006,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL  ,05,15,19,1,1,3,3,0,1,0,0,0,0,1,1,20,25,45
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-006,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL  ,06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-006,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL  ,07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-006,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL  ,08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-006,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL  ,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-006,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL  ,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-006,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL  ,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-006,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL  ,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-006,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL  ,K ,26,29,0,0,3,3,1,1,0,0,0,0,1,0,31,33,64
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-006,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL  ,PK,6,9,0,1,0,2,1,1,0,0,0,0,0,1,7,14,21
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-007,01,0018,007,MORTON ELEMENTARY SCHOOL      ,02,11,14,0,0,3,6,0,0,0,0,0,0,0,1,14,21,35
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-007,01,0018,007,MORTON ELEMENTARY SCHOOL      ,03,14,13,0,0,9,4,0,0,0,0,0,0,0,0,23,17,40
