CoDist	DistName	CoDistSch	SchName	Grade	FWNH	MWNH	FAPI	MAPI	FH	MH	FAIA	MAIA	FBNH	MBNH	Female	Male	Total
00-0013	EDUCATIONAL SERVICE UNIT 13	00-0013-001	MERIDIAN SCHOOL	11	0	1	0	0	0	0	0	0	0	0	0	1	1

00-0013	EDUCATIONAL SERVICE UNIT 13	00-0013-001	MERIDIAN SCHOOL	12	2	2	0	0	0	0	0	0	0	0	2	2	4

00-0015	EDUCATIONAL SERVICE UNIT 15	00-0015-002	STEP SCHOOL	08	1	1	0	0	0	0	0	0	0	0	1	1	2

00-0015	EDUCATIONAL SERVICE UNIT 15	00-0015-002	STEP SCHOOL	09	0	0	0	0	1	0	0	0	0	0	1	0	1

00-0015	EDUCATIONAL SERVICE UNIT 15	00-0015-002	STEP SCHOOL	10	0	1	0	0	0	0	0	0	0	0	0	1	1

00-0015	EDUCATIONAL SERVICE UNIT 15	00-0015-002	STEP SCHOOL	12	3	2	0	0	0	0	0	0	0	0	3	2	5

00-0018	EDUCATIONAL SERVICE UNIT 18	00-0018-001	LANCASTER CO YOUTH SERVICES	06	0	0	0	0	0	0	0	0	0	1	0	1	1

00-0018	EDUCATIONAL SERVICE UNIT 18	00-0018-001	LANCASTER CO YOUTH SERVICES	07	0	0	0	0	0	0	0	0	0	1	0	1	1

00-0018	EDUCATIONAL SERVICE UNIT 18	00-0018-001	LANCASTER CO YOUTH SERVICES	08	2	2	0	0	0	0	0	0	0	0	2	2	4

00-0018	EDUCATIONAL SERVICE UNIT 18	00-0018-001	LANCASTER CO YOUTH SERVICES	09	2	5	0	0	0	2	1	0	1	2	4	9	13

00-0018	EDUCATIONAL SERVICE UNIT 18	00-0018-001	LANCASTER CO YOUTH SERVICES	10	1	4	0	0	0	0	0	1	1	5	2	10	12

00-0018	EDUCATIONAL SERVICE UNIT 18	00-0018-001	LANCASTER CO YOUTH SERVICES	11	0	7	0	0	0	0	0	1	0	2	0	10	10

00-0018	EDUCATIONAL SERVICE UNIT 18	00-0018-001	LANCASTER CO YOUTH SERVICES	12	3	2	0	0	0	0	1	0	0	0	4	2	6

