Type	School Year	County	District	School	Agency Name	Average Teacher Salary	Average Years of Teaching Experience	Masters Count	Percentage of Teachers with Master's Degrees	Teacher Count	White, Not Hispanic	Black, Not Hispanic	Hispanic	Asian / Pacific Islanders	American Indian / Alaskan Native
SC	20032004	02	0035	001	SUNNYSIDE PUBLIC SCHOOL	18626	16.00	*	*	*	*	*	*	*	*
SC	20042005	02	0035	001	SUNNYSIDE PUBLIC SCHOOL	19371	17.00	*	*	*	*	*	*	*	*
DI	20002001	02	2001	000	NEBRASKA UNIFIED DISTRICT 1	28684	15.69	15.69	0.2344	57.35					
DI	20032004	02	2001	000	NEBRASKA UNIFIED DISTRICT 1	33934	17.36	17.36	0.3115	55.78	56	*	*	*	*
DI	20042005	02	2001	000	NEBRASKA UNIFIED DISTRICT 1	34727	16.97	16.97	0.3065	55.61	56	*	*	*	*
DI	20052006	02	2001	000	NEBRASKA UNIFIED DISTRICT 1	36378	17.62	17.62	0.3333	56.86	57	*	*	*	*
SC	20002001	02	2001	001	CLEARWATER HIGH SCHOOL	28659	17.20	*	*	*					
SC	20032004	02	2001	001	CLEARWATER HIGH SCHOOL	33060	16.46	*	*	*	*	*	*	*	*
SC	20042005	02	2001	001	CLEARWATER HIGH SCHOOL	34656	17.46	*	*	*	*	*	*	*	*
SC	20052006	02	2001	001	CLEARWATER HIGH SCHOOL	35350	17.14	*	*	*	10	*	*	*	*
SC	20002001	02	2001	002	CLEARWATER ELEMENTARY SCHOOL	29639	15.73	*	*	*					
SC	20032004	02	2001	002	CLEARWATER ELEMENTARY SCHOOL	32674	14.64	*	*	*	*	*	*	*	*
SC	20042005	02	2001	002	CLEARWATER ELEMENTARY SCHOOL	33231	12.46	*	*	*	*	*	*	*	*
SC	20052006	02	2001	002	CLEARWATER ELEMENTARY SCHOOL	34196	13.08	*	*	*	*	*	*	*	*
SC	20002001	02	2001	003	ORCHARD HIGH SCHOOL	27151	14.62	*	*	10.00					
SC	20032004	02	2001	003	ORCHARD HIGH SCHOOL	30637	14.31	*	*	10.00	10	*	*	*	*
SC	20042005	02	2001	003	ORCHARD HIGH SCHOOL	32607	15.31	*	*	10.00	10	*	*	*	*
SC	20052006	02	2001	003	ORCHARD HIGH SCHOOL	34156	16.15	*	*	10.00	10	*	*	*	*
SC	20002001	02	2001	004	ORCHARD ELEMENTARY SCHOOL	27135	15.73	*	*	*					
SC	20032004	02	2001	004	ORCHARD ELEMENTARY SCHOOL	32210	11.73	*	*	*	*	*	*	*	*
SC	20042005	02	2001	004	ORCHARD ELEMENTARY SCHOOL	32524	11.36	*	*	*	*	*	*	*	*
SC	20052006	02	2001	004	ORCHARD ELEMENTARY SCHOOL	33799	12.00	*	*	*	*	*	*	*	*
SC	20002001	02	2001	005	VERDIGRE HIGH SCHOOL	30441	17.43	*	*	10.52					
SC	20032004	02	2001	005	VERDIGRE HIGH SCHOOL	35484	20.85	*	*	*	10	*	*	*	*
SC	20042005	02	2001	005	VERDIGRE HIGH SCHOOL	37151	21.85	*	*	*	10	*	*	*	*
SC	20052006	02	2001	005	VERDIGRE HIGH SCHOOL	38090	21.20	*	*	10.10	10	*	*	*	*
SC	20002001	02	2001	006	VERDIGRE ELEMENTARY SCHOOL	28123	15.00	*	*	*					
SC	20032004	02	2001	006	VERDIGRE ELEMENTARY SCHOOL	35883	20.93	*	*	*	*	*	*	*	*
SC	20042005	02	2001	006	VERDIGRE ELEMENTARY SCHOOL	36109	21.29	*	*	*	*	*	*	*	*
SC	20052006	02	2001	006	VERDIGRE ELEMENTARY SCHOOL	38578	24.00	*	*	*	*	*	*	*	*
DI	19951996	03	0032	000	ARTHUR ELEMENTARY SCHOOL	19000	5.00	*	*	*					
DI	20002001	03	0032	000	ARTHUR ELEMENTARY SCHOOL	25433	12.50	*	*	*					
DI	20032004	03	0032	000	ARTHUR ELEMENTARY SCHOOL	27880	9.33	*	*	*	*	*	*	*	*
DI	20042005	03	0032	000	ARTHUR ELEMENTARY SCHOOL	28093	10.33	*	*	*	*	*	*	*	*
DI	20052006	03	0032	000	ARTHUR ELEMENTARY SCHOOL	28872	11.33	*	*	*	*	*	*	*	*
