"CoDist","DistName","CoDistSch","SchName","Grade","FWNH","MWNH","FAPI","MAPI","FH","MH","FAIA","MAIA","FBNH","MBNH","Ftotal","Mtotal","TOTAL"
"00-0011","EDUCATIONAL SERVICE UNIT 11","00-0011-001","SCH FOR THE TR MENTALLY HDCP","09",0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00
"00-0011","EDUCATIONAL SERVICE UNIT 11","00-0011-001","SCH FOR THE TR MENTALLY HDCP","10",0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00
"00-0011","EDUCATIONAL SERVICE UNIT 11","00-0011-001","SCH FOR THE TR MENTALLY HDCP","11",0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00
"00-0011","EDUCATIONAL SERVICE UNIT 11","00-0011-001","SCH FOR THE TR MENTALLY HDCP","12",0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00
"00-0011","EDUCATIONAL SERVICE UNIT 11","00-0011-002","PRE SCHOOL HDCP CHILD PROGRAM","PK",19.00,36.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,19.00,41.00,60.00
"00-0011","EDUCATIONAL SERVICE UNIT 11","00-0011-003","PHOENIX CENTER WEST","09",0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00
"00-0011","EDUCATIONAL SERVICE UNIT 11","00-0011-003","PHOENIX CENTER WEST","10",0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00
"00-0011","EDUCATIONAL SERVICE UNIT 11","00-0011-003","PHOENIX CENTER WEST","11",0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00
"00-0011","EDUCATIONAL SERVICE UNIT 11","00-0011-003","PHOENIX CENTER WEST","12",0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00
"00-0011","EDUCATIONAL SERVICE UNIT 11","00-0011-004","PHOENIX CENTER EAST","11",0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00
"00-0011","EDUCATIONAL SERVICE UNIT 11","00-0011-004","PHOENIX CENTER EAST","12",4.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,5.00,9.00
"00-0013","EDUCATIONAL SERVICE UNIT 13","00-0013-001","MERIDIAN SCHOOL","01",0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00
"00-0013","EDUCATIONAL SERVICE UNIT 13","00-0013-001","MERIDIAN SCHOOL","02",1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00
"00-0013","EDUCATIONAL SERVICE UNIT 13","00-0013-001","MERIDIAN SCHOOL","03",0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00
"00-0013","EDUCATIONAL SERVICE UNIT 13","00-0013-001","MERIDIAN SCHOOL","04",2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,3.00
"00-0013","EDUCATIONAL SERVICE UNIT 13","00-0013-001","MERIDIAN SCHOOL","05",0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00
