"DATAYEARS","COUNTY_NAME","CLASS_CODE","CLASS_LITERAL","DistrictName","COUNTY","DISTRICT","SCHOOL","SchoolName","GRADE_CODE","FWNH","MWNH","FAPI","MAPI","FH","MH","FAIA","MAIA","FBNH","MBNH","TOTAL","MALE","FEMALE"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 09","00","0009","022","LAWRENCE PRESCHOOL CNTR BASE","PK","15","12","0","0","0","0","0","0","0","0","27","12","15"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 11","00","0011","001","SCH FOR THE TR MENTALLY HDCP","03","0","1","0","0","0","0","0","0","0","0","1","1","0"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 11","00","0011","001","SCH FOR THE TR MENTALLY HDCP","07","0","1","0","0","0","0","0","0","0","0","1","1","0"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 11","00","0011","001","SCH FOR THE TR MENTALLY HDCP","09","0","1","0","0","0","0","0","0","0","0","1","1","0"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 11","00","0011","001","SCH FOR THE TR MENTALLY HDCP","10","0","1","0","0","0","0","0","0","0","0","1","1","0"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 11","00","0011","001","SCH FOR THE TR MENTALLY HDCP","12","1","1","0","0","0","0","0","0","0","0","2","1","1"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 11","00","0011","002","PRE SCHOOL HDCP CHILD PROGRAM","K ","2","5","0","0","0","0","0","0","0","0","7","5","2"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 11","00","0011","002","PRE SCHOOL HDCP CHILD PROGRAM","PK","11","23","0","0","0","2","0","1","0","0","37","26","11"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 11","00","0011","003","PHOENIX CENTER WEST","10","0","1","0","0","0","0","0","0","0","0","1","1","0"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 11","00","0011","003","PHOENIX CENTER WEST","11","0","1","0","0","0","0","0","0","0","0","1","1","0"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 11","00","0011","003","PHOENIX CENTER WEST","12","0","4","0","0","0","0","0","0","0","0","4","4","0"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 13","00","0013","001","MERIDIAN SCHOOL","03","0","1","0","0","0","0","0","0","0","0","1","1","0"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 13","00","0013","001","MERIDIAN SCHOOL","04","1","0","0","0","1","0","0","0","0","0","2","0","2"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 13","00","0013","001","MERIDIAN SCHOOL","05","0","3","0","0","0","0","0","0","0","0","3","3","0"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 13","00","0013","001","MERIDIAN SCHOOL","06","2","1","0","0","0","0","0","0","0","0","3","1","2"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 13","00","0013","001","MERIDIAN SCHOOL","07","0","1","0","0","0","0","0","1","0","0","2","2","0"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 13","00","0013","001","MERIDIAN SCHOOL","08","1","0","0","0","0","0","0","0","0","0","1","0","1"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 13","00","0013","001","MERIDIAN SCHOOL","09","0","1","0","0","0","0","0","0","0","0","1","1","0"
