Type	School Year	County	District	School	Agency Name	Average Teacher Salary	Average Years of Teaching Experience	Masters Count	Percentage of Teachers with Master’s Degrees	Teacher FTE	AM_5	AS_5	BL_5	HI_5	WH_5	AM_7	AS_7	BL_7	HI_7	PI_7	WH_7	MU_7	DataAsOf	
SC	20122013	02	0009	002	ELEM SCHOOL AT NELIGH-OAKDALE	46060	18.00	9	0.3913	19.95						0.00	0.00	0.00	0.00	0.00	19.95	0.00	07/05/2013	
DI	20082009	02	0018	000	ELGIN PUBLIC SCHOOLS	41741	18.83	17	0.7083	21.60	0.00	0.00	0.00	0.00	21.60								11/26/2012	
DI	20092010	02	0018	000	ELGIN PUBLIC SCHOOLS	42510	19.57	15	0.6522	21.35	0.00	0.00	0.00	0.00	21.35								11/26/2012	
DI	20102011	02	0018	000	ELGIN PUBLIC SCHOOLS	43977	19.83	13	0.5652	21.35						0.00	0.00	0.00	0.00	0.00	21.35	0.00	11/26/2012	
DI	20112012	02	0018	000	ELGIN PUBLIC SCHOOLS	44587	20.04	13	0.5652	21.35						0.00	0.00	0.00	0.00	0.00	21.35	0.00	11/26/2012	
DI	20122013	02	0018	000	ELGIN PUBLIC SCHOOLS	45785	21.61	13	0.5652	21.35						0.00	0.00	0.00	0.00	0.00	21.35	0.00	07/05/2013	
SC	20082009	02	0018	001	ELGIN HIGH SCHOOL	41617	17.81	11	0.6875	9.77	0.00	0.00	0.00	0.00	9.77								11/26/2012	
SC	20092010	02	0018	001	ELGIN HIGH SCHOOL	43577	19.63	11	0.6875	10.40	0.00	0.00	0.00	0.00	10.40								11/26/2012	
SC	20102011	02	0018	001	ELGIN HIGH SCHOOL	44927	19.56	9	0.5625	10.25						0.00	0.00	0.00	0.00	0.00	10.25	0.00	11/26/2012	
SC	20112012	02	0018	001	ELGIN HIGH SCHOOL	45458	19.56	9	0.5625	10.40						0.00	0.00	0.00	0.00	0.00	10.40	0.00	11/26/2012	
SC	20122013	02	0018	001	ELGIN HIGH SCHOOL	46846	20.87	9	0.6000	10.05						0.00	0.00	0.00	0.00	0.00	10.05	0.00	07/05/2013	
SC	20082009	02	0018	002	ELGIN ELEMENTARY SCHOOL	41617	19.13	9	0.6000	11.83	0.00	0.00	0.00	0.00	11.83								11/26/2012	
SC	20092010	02	0018	002	ELGIN ELEMENTARY SCHOOL	41433	19.08	6	0.4615	10.95	0.00	0.00	0.00	0.00	10.95								11/26/2012	
SC	20102011	02	0018	002	ELGIN ELEMENTARY SCHOOL	43081	20.08	6	0.4615	11.10						0.00	0.00	0.00	0.00	0.00	11.10	0.00	11/26/2012	
SC	20112012	02	0018	002	ELGIN ELEMENTARY SCHOOL	43810	20.92	6	0.4615	10.95						0.00	0.00	0.00	0.00	0.00	10.95	0.00	11/26/2012	
SC	20122013	02	0018	002	ELGIN ELEMENTARY SCHOOL	44884	21.85	6	0.4615	11.30						0.00	0.00	0.00	0.00	0.00	11.30	0.00	07/05/2013	
DI	20082009	02	2001	000	NEBRASKA UNIFIED DISTRICT 1	41637	20.08	23	0.3833	56.38	0.00	0.00	0.00	0.00	56.38								11/26/2012	
DI	20092010	02	2001	000	NEBRASKA UNIFIED DISTRICT 1	42527	20.44	23	0.3898	55.48	0.00	0.00	0.00	0.00	55.48								11/26/2012	
DI	20102011	02	2001	000	NEBRASKA UNIFIED DISTRICT 1	44105	21.69	22	0.3729	54.84						0.00	0.00	0.00	0.00	0.00	54.84	0.00	11/26/2012	
DI	20112012	02	2001	000	NEBRASKA UNIFIED DISTRICT 1	43546	19.69	19	0.3519	50.45						0.00	0.00	0.00	0.00	0.00	50.45	0.00	11/26/2012	
DI	20122013	02	2001	000	NEBRASKA UNIFIED DISTRICT 1	44543	21.57	19	0.3519	50.42						0.00	0.00	0.00	0.00	0.00	50.42	0.00	07/05/2013	
SC	20082009	02	2001	001	CLEARWATER HIGH SCHOOL	40639	19.50	4	0.3333	9.40	0.00	0.00	0.00	0.00	9.40								11/26/2012	
SC	20092010	02	2001	001	CLEARWATER HIGH SCHOOL	40716	18.62	4	0.3077	9.78	0.00	0.00	0.00	0.00	9.78								11/26/2012	
SC	20102011	02	2001	001	CLEARWATER HIGH SCHOOL	42344	18.87	5	0.3333	9.79						0.00	0.00	0.00	0.00	0.00	9.79	0.00	11/26/2012	
SC	20082009	02	2001	002	CLEARWATER ELEMENTARY SCHOOL	39196	16.06	4	0.2500	11.35	0.00	0.00	0.00	0.00	11.35								11/26/2012	
SC	20092010	02	2001	002	CLEARWATER ELEMENTARY SCHOOL	40351	15.31	5	0.3125	10.97	0.00	0.00	0.00	0.00	10.97								11/26/2012	
SC	20102011	02	2001	002	CLEARWATER ELEMENTARY SCHOOL	41004	16.12	5	0.2941	10.78						0.00	0.00	0.00	0.00	0.00	10.78	0.00	11/26/2012	
SC	20112012	02	2001	002	CLEARWATER ELEMENTARY SCHOOL	42232	16.23	4	0.3077	7.48						0.00	0.00	0.00	0.00	0.00	7.48	0.00	11/26/2012	
SC	20122013	02	2001	002	CLEARWATER ELEMENTARY SCHOOL	43593	18.00	4	0.3077	7.48						0.00	0.00	0.00	0.00	0.00	7.48	0.00	07/05/2013	
SC	20082009	02	2001	003	ORCHARD HIGH SCHOOL	39771	17.71	5	0.3571	9.50	0.00	0.00	0.00	0.00	9.50								11/26/2012	
